boiled rice, health drinks, mosquito repellent, other rice products, raw rice, root vegetables, sugar,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, beans, gourd / cucumber, other sweets, other vegetables, root vegetables, sunflower oils, toor dal, whole spices,,,,,,,,,,,,,,,,,,,
banana, beans, cashews, chips, raw rice, snacky nuts, sooji / rava, toor dal, yogurt / lassi,,,,,,,,,,,,,,,,,,,
cakes, cookies, facial tissues, organic f/v,,,,,,,,,,,,,,,,,,,,,,,,
namkeen, other dals, other sweets, sunflower oils,,,,,,,,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, liquid soaps / bars, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,
gourd / cucumber,,,,,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, beans, exotic vegetables, gourd / cucumber, maida, other dals, other rice products, other vegetables, raisins, raw rice, regular pasta, root vegetables, urad dal, whole spices,,,,,,,,,,,,,,
banana, ghee, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
hair colors / dyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, other sweets,,,,,,,,,,,,,,,,,,,,,,,,,
cooking sauce, exotic vegetables, gourd / cucumber, instant noodles, other vegetables, raw rice,,,,,,,,,,,,,,,,,,,,,,
bakery / breads, beans, cookies, mosquito repellent, namkeen, other dals, toor dal,,,,,,,,,,,,,,,,,,,,,
aluminium foil / cling wrap, cut vegetables, hair oil, home / air freshener, other sweets, pain relievers, raisins, sugar,,,,,,,,,,,,,,,,,,,,
raisins, raw rice, sooji / rava, urad dal, whole spices,,,,,,,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, other dals, other rice products, other vegetables, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,,
bread, cream biscuits, namkeen,,,,,,,,,,,,,,,,,,,,,,,,,
moong dal, other dals, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
beans, cooking paste, cooking sauce, namkeen, other sweets, raisins, root vegetables,,,,,,,,,,,,,,,,,,,,,
gourd / cucumber, other vegetables, raw rice, toor dal,,,,,,,,,,,,,,,,,,,,,,,,
cashews, organic rice / rice products, raisins, sooji / rava, sugar,,,,,,,,,,,,,,,,,,,,,,,
banana, organic flours, organic juices, other rice products, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, boiled rice, moong dal, other dals, other flours, other rice products, other sweets, raw rice, sooji / rava, sugar, toor dal, urad dal, whole spices,,,,,,,,,,,,,,,
banana, colours , face cream, other oils,,,,,,,,,,,,,,,,,,,,,,,,
raw rice,,,,,,,,,,,,,,,,,,,,,,,,,,,
beans, ghee, milk, other vegetables, shaving cream, foam / gels, whole spices,,,,,,,,,,,,,,,,,,,,,
banana, oats, organic f/v, organic masalas / spices, other sweets, other vegetables, root vegetables, sugar,,,,,,,,,,,,,,,,,,,,
banana, boiled rice, exotic vegetables, ghee, moong dal, other dals, raw rice, sooji / rava, toor dal,,,,,,,,,,,,,,,,,,,
namkeen,,,,,,,,,,,,,,,,,,,,,,,,,,,
face packs / scrubs, frozen veg food, glucose, marie / milk biscuits, instant noodles, other rice products, raisins,,,,,,,,,,,,,,,,,,,,,
powdered spices, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, other dals, raw peanuts, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
beans, other dals, other vegetables, sooji / rava, sugar, toor dal,,,,,,,,,,,,,,,,,,,,,,
beans, cream biscuits, gourd / cucumber, ice creams / desserts, maida, moong dal, namkeen, organic f/v, other dals, other jams, other sweets, other vegetables, root vegetables, toor dal, urad dal,,,,,,,,,,,,,
banana, beans, boiled rice, gourd / cucumber, health drinks, organic masalas / spices, other flours, rasagulla / gulab jamun, rice flour, sooji / rava, whole spices,,,,,,,,,,,,,,,,,
banana, exotic vegetables, ghee, glucose, marie / milk biscuits, healthy / digestive biscuits, liquid detergent, liquid soaps / bars, mosquito repellent, organic dals / pulses, organic edible oils / ghee, organic f/v, organic flours, organic juices, organic masalas / spices, organic salt,sugar / jaggery, other dals, toothpaste,,,,,,,,,
banana, beans, corn snacks, organic f/v, other vegetables, root vegetables, sugar,,,,,,,,,,,,,,,,,,,,,
banana, basmati rice, bread, cakes, mosquito repellent, muffins, cookies / rusk, other dals, other flours, raw peanuts, raw rice, sugar, sunflower oils, toor dal, urad dal, whole spices,,,,,,,,,,,,
